kodikos,titlos,diametros,mikos
ΜΑΠ/Σ/Γ/10/100,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,10,100
ΜΑΠ/Σ/Γ/10/75,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,10,75
ΜΑΠ/Σ/Γ/12/100,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,12,100
ΜΑΠ/Σ/Γ/6/50,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,6,50
ΜΑΠ/Σ/Γ/6/80,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,6,80
ΜΑΠ/Σ/Γ/8/100,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,8,100
ΜΑΠ/Σ/Γ/8/60,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,8,60
ΜΑΠ/Σ/Γ/8/80,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,8,80
ΜΑΠ/Σ/Χ/10/100,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,10,100
ΜΑΠ/Σ/Χ/10/60,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,10,60
ΜΑΠ/Σ/Χ/10/75,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,10,75
ΜΑΠ/Σ/Χ/12/100,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,12,100
ΜΑΠ/Σ/Χ/6/130,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,6,130
ΜΑΠ/Σ/Χ/6/50,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,6,50
ΜΑΠ/Σ/Χ/6/80,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,6,80
ΜΑΠ/Σ/Χ/8/100,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,8,100
ΜΑΠ/Σ/Χ/8/60,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,8,60
ΜΑΠ/Σ/Χ/8/80,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,8,80
ΜΑΠ/Σ/Γ/10/100,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,10,100
ΜΑΠ/Σ/Γ/10/75,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,10,75
ΜΑΠ/Σ/Γ/12/100,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,12,100
ΜΑΠ/Σ/Γ/6/50,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,6,50
ΜΑΠ/Σ/Γ/6/80,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,6,80
ΜΑΠ/Σ/Γ/8/100,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,9,100
ΜΑΠ/Σ/Γ/8/60,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,8,60
ΜΑΠ/Σ/Γ/8/80,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΓΑΛΒΑΝΙΖΕ,8,80
ΜΑΠ/Σ/Χ/10/100,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,10,100
ΜΑΠ/Σ/Χ/10/60,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,10,60
ΜΑΠ/Σ/Χ/10/75,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,10,75
ΜΑΠ/Σ/Χ/12/100,ΜΑΠΑ ΣΤΡΙΦΩΝΙ ΧΑΛΚΑ ΓΑΛΒΑΝΙΖΕ,12,100
